,original_title,Foreign,History,Adventure,Movie,Comedy,Drama,Mystery,Fantasy,Action,Science,Documentary,Animation,Western,Horror,TV,Science Fiction,War,Crime,Family,Romance,Music,vote_average_1.0,vote_average_2.0,vote_average_3.0,vote_average_4.0,vote_average_5.0,vote_average_6.0,vote_average_7.0,vote_average_8.0,vote_average_9.0,vote_average_10.0
0,Avatar,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
1,Pirates of the Caribbean: At World's End,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
2,Spectre,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False
3,The Dark Knight Rises,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,True,False,False
4,John Carter,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
5,Spider-Man 3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
6,Tangled,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
7,Avengers: Age of Ultron,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
8,Harry Potter and the Half-Blood Prince,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,False,True,False,False
9,Batman v Superman: Dawn of Justice,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
10,Superman Returns,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
11,Quantum of Solace,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,True,False,False,False
12,Pirates of the Caribbean: Dead Man's Chest,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
13,The Lone Ranger,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
14,Man of Steel,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
15,The Chronicles of Narnia: Prince Caspian,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,False,False,False,False,False,False,True,False,False,False
16,The Avengers,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
17,Pirates of the Caribbean: On Stranger Tides,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
18,Men in Black 3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
19,The Hobbit: The Battle of the Five Armies,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
20,The Amazing Spider-Man,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
21,Robin Hood,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
22,The Hobbit: The Desolation of Smaug,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
23,The Golden Compass,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
24,King Kong,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
25,Titanic,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,False,False,False,False,False,False,True,False,False
26,Captain America: Civil War,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,False,True,False,False
27,Battleship,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False
28,Jurassic World,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False
